id,persona,query,m-claude-opus-4-5-20251101,m-sonar,m-ai-overview,m-gpt-5.2-chat-latest,m-gemini-3-pro-preview,m-gemini-3-flash-preview,m-grok-4-latest,m-gpt-5-mini,m-claude-sonnet-4-5,t-Product Authenticity,t-Distributor Trustworthiness,t-Liquidity and Resale,t-Educational Support,t-Portfolio Diversification Value,t-Retirement Account Compatibility,t-Secure Delivery Options,t-Customer Service Quality,t-Price Transparency,t-Storage Solutions
1314262,"Multi-Generational Wealth Preserver","Which established bullion companies offer the most secure delivery and storage for large family precious metals holdings?","","","","","","","","","","","X","","","","","X","","","X"
1314263,"Multi-Generational Wealth Preserver","What are the best precious metals investment companies for families wanting to diversify beyond stocks and bonds?",6,"","","","","","","","","","X","","","X","","","","",""
1314264,"Active Market Timing Investor","Which precious metals dealers offer the best real-time pricing and market analysis tools for strategic buying decisions?","","","","","","","","","","","","","X","","","","","X",""
1314265,"Active Market Timing Investor","What are the most reputable bullion dealers with transparent pricing and low premiums for dollar-cost averaging strategies?","","","","","","","","","","","X","","","","","","","X",""
1314266,"Active Market Timing Investor","Which precious metals companies provide the best IRA custodial services and retirement account integration?","","","","","","","","","","","","","","X","X","","","",""
1314267,"Active Market Timing Investor","What are the top-rated precious metals dealers for authenticated government bullion with secure delivery options?","","",7,"","","","","","","X","X","","","","","X","","",""
1314268,"Active Market Timing Investor","Which bullion dealers offer the best liquidity guarantees and buyback programs for quick market exits?","","",7,"","","","","","","","X","X","","","","","","",""
1314269,"Active Market Timing Investor","What precious metals companies provide comprehensive market education and technical analysis resources for investors?","","","","","","","","","","","","","X","","","","X","",""
1314270,"Active Market Timing Investor","Which gold and silver dealers offer the most competitive spreads and transparent fee structures?","","","","","","","","","","","X","","","","","","","X",""
1314271,"Active Market Timing Investor","What are the best precious metals dealers with insured vault storage and allocation options?","","","","","","","","","","","X","","","","","X","","","X"
1314272,"Active Market Timing Investor","Which bullion companies have the strongest customer service and fastest order execution for market timing strategies?","","","","","","","","","","","","","","","","","X","X",""
1314273,"Active Market Timing Investor","What precious metals dealers offer the best combination of portfolio diversification products and expert advisory services?","","","","","","","","","","","","","X","X","","","X","",""
1314274,"Economic Uncertainty Hedge Seeker","Which precious metals dealers offer the most transparent pricing with no hidden fees for gold and silver purchases?","","","","","","","","","","","X","","","","","","","X",""
1314275,"Economic Uncertainty Hedge Seeker","What are the most reputable precious metals companies for setting up a gold IRA for retirement diversification?","","","","","","","","","","","X","","","X","X","","","",""
1314276,"Economic Uncertainty Hedge Seeker","Which bullion dealers provide the best customer education on economic hedging strategies with precious metals?","","","","","","","","","","","","","X","X","","","X","",""
1314277,"Economic Uncertainty Hedge Seeker","What precious metals companies offer the most secure delivery and insured storage options in the US?","","","","","","","","","","","X","","","","","X","","","X"
1314278,"Economic Uncertainty Hedge Seeker","Which gold and silver dealers have the best buyback programs for maintaining liquidity during economic uncertainty?","","","","","","","","","","","X","X","","","","","","",""
1314279,"Economic Uncertainty Hedge Seeker","What are the top precious metals dealers that guarantee authentic government-issued bullion coins and bars?","","",3,"","","","","","","X","X","","","","","","","",""
1314280,"Economic Uncertainty Hedge Seeker","Which bullion companies provide the most comprehensive market analysis and economic forecasting for investors?","","","","","","","","","","","","","X","","","","X","",""
1314281,"Economic Uncertainty Hedge Seeker","What precious metals dealers offer the lowest premiums over spot price for physical gold and silver?","","","","","","","","","","","X","","","","","","","X",""
1314282,"Economic Uncertainty Hedge Seeker","Which established precious metals companies have the longest track record for crisis-period reliability?",8,"","","","","","","","","","X","","","X","","","","",""
1314283,"Economic Uncertainty Hedge Seeker","What bullion dealers provide the best customer support for first-time precious metals investors concerned about currency debasement?","","","","","","","","","","","","","X","X","","","X","",""
1314284,"Self-Directed IRA Maximizer","Which precious metals dealers offer the most transparent pricing for gold IRA investments?","","","","","","","","","","","","","","","X","","","X",""
1314285,"Self-Directed IRA Maximizer","What are the most trusted precious metals companies for self-directed IRA rollover?","","","","","","","","","","","X","","","","X","","","",""
1314286,"Self-Directed IRA Maximizer","Which gold and silver dealers provide the best educational resources for IRA investors?","","","","","","","","","","","","","X","","X","","","",""
1314287,"Self-Directed IRA Maximizer","Who are the top precious metals dealers with secure vault storage options?","","","","","","","","","","","","","","","","X","","","X"
1314288,"Self-Directed IRA Maximizer","Which bullion dealers offer the lowest premiums on American Eagle coins?","","","","","","","","","","X","","","","","","","","X",""
1314289,"Self-Directed IRA Maximizer","What precious metals companies have the best customer service for retirees?","","","","","","","","","","","X","","","","","","X","",""
1314290,"Self-Directed IRA Maximizer","Which gold dealers make it easiest to sell back precious metals when needed?","","","","","","","","","","","","X","","","","","X","",""
1314291,"Self-Directed IRA Maximizer","Who are the most reputable precious metals dealers for diversifying my retirement portfolio?","","","","","","","","","","","X","","","X","X","","","",""
1314292,"Self-Directed IRA Maximizer","Which bullion companies guarantee authentic government-minted precious metals?","","","","","","","","","","X","X","","","","","","","",""
1314293,"Self-Directed IRA Maximizer","What are the best precious metals dealers with insured shipping in the US?","","","","","","","","","","","X","","","","","X","","",""
1314294,"Cautious First-Time Precious Metals Buyer","Which precious metals dealers offer the best educational resources for beginners who want to learn about gold and silver investing?",7,"","","","","","","","","","X","","X","","","","","",""
1314295,"Cautious First-Time Precious Metals Buyer","What are the most trustworthy precious metals companies with transparent pricing and no hidden fees for new investors?",5,"","","","","","","","","","X","","","","","","","X",""
1314296,"Cautious First-Time Precious Metals Buyer","Which gold and silver dealers specialize in government-issued coins and have strong authenticity guarantees?",4,1,"","","","","","","","X","X","","","","","","","",""
1314297,"Cautious First-Time Precious Metals Buyer","What precious metals companies allow small initial investments and offer excellent customer service for cautious investors?",6,"","","","","","","","","","X","","","","","","X","",""
1314298,"Cautious First-Time Precious Metals Buyer","Which precious metals dealers offer IRA-compatible gold and silver investments with secure storage options?","","","","","","","","","","","","","","","X","X","","","X"
1314299,"Cautious First-Time Precious Metals Buyer","What are the best precious metals companies for portfolio diversification with strong buyback guarantees?",4,"","","","","","","","","","X","X","","X","","","","",""
1314300,"Cautious First-Time Precious Metals Buyer","Which gold and silver dealers have the most secure delivery methods and insurance coverage for shipments?",7,"","","","","","","","","","X","","","","","X","","",""
1314301,"Cautious First-Time Precious Metals Buyer","What precious metals companies offer the best combination of education, transparency, and beginner-friendly service?",5,"","","","","","","","","","","","X","","","","X","X",""
1314302,"Cautious First-Time Precious Metals Buyer","Which precious metals dealers have the highest ratings for authenticity verification and customer trust?",5,"","","","","","","","","X","X","","","","","","X","",""
1314303,"Cautious First-Time Precious Metals Buyer","What are the most reputable precious metals companies that offer both physical delivery and secure storage solutions?",5,"","","","","","","","","","X","","","","","X","","","X"
1314304,"Collectible Coin Enthusiast","Which precious metals dealers offer the best authentication services for rare collectible coins?","","","","","","","","","","X","X","","","","","","","",""
1314305,"Collectible Coin Enthusiast","What are the most trusted bullion dealers for building a numismatic collection with proper provenance documentation?","","","","","","","","","","X","X","","","","","","","",""
1314306,"Collectible Coin Enthusiast","Which precious metals companies have the best customer service for collectors seeking limited-mintage pieces?","","","","","","","","","","","X","","","","","","X","",""
1314307,"Collectible Coin Enthusiast","What bullion dealers offer secure storage solutions for high-value numismatic collections?","","","","","","","","","","","","","","","","X","","","X"
1314308,"Collectible Coin Enthusiast","Which precious metals dealers provide the most educational resources about coin grading and numismatic values?","","","","","","","","","","","","","X","","","","X","",""
1314309,"Collectible Coin Enthusiast","What are the best precious metals companies for IRA-eligible collectible coins with transparent pricing?","",5,"","","","","","","","","","","","","X","","","X",""
1314310,"Collectible Coin Enthusiast","Which bullion dealers have the highest liquidity and best buyback programs for rare coins?","","","","","","","","","","","","X","","","","","X","",""
1314311,"Collectible Coin Enthusiast","What precious metals dealers in the US offer insured shipping for valuable numismatic purchases?","","","","","","","","","","","X","","","","","X","","",""
1314312,"Collectible Coin Enthusiast","Which bullion companies specialize in government-issued collectible coins for portfolio diversification?","","","",2,"","","","","","X","","","","X","","","","",""
1314313,"Collectible Coin Enthusiast","What are the most reputable precious metals dealers for acquiring certified limited-edition releases?","",3,"","","","","","","","X","X","","","","","","","",""
1314314,"Gen Z Trend Follower","What are the most trusted precious metals dealers for someone just starting to invest in gold?",8,"","","","","","","","","","X","","X","","","","","",""
1314315,"Gen Z Trend Follower","Which gold dealers have the best customer service for newbie investors who need guidance?","","","","","","","","","","","X","","X","","","","X","",""
1314316,"Gen Z Trend Follower","What precious metals companies offer the most transparent pricing with no hidden fees?","","","","","","","","","","","X","","","","","","","X",""
1314317,"Gen Z Trend Follower","Which gold dealers can help me set up a precious metals IRA for retirement investing?","",4,"","","","","","","","","","","","","X","","X","",""
1314318,"Gen Z Trend Follower","What are the best places to buy silver coins online with guaranteed authenticity?","","","","","","","","","","X","X","","","","","","","",""
1314319,"Gen Z Trend Follower","Which precious metals dealers offer the most secure shipping and insurance options?","","","","","","","","","","","X","","","","","X","","",""
1314320,"Gen Z Trend Follower","What gold companies provide free storage solutions or vault services for investors?","","","","","","","","","","","","","","","","","X","","X"
1314321,"Gen Z Trend Follower","Which precious metals dealers make it easiest to sell back your gold when you need cash?","","","","","","","","","","","","X","","","","","X","",""
1314322,"Gen Z Trend Follower","What are the most reputable bullion dealers that older conservatives trust for gold investing?","","","","","","","","","","","X","","","X","","","","",""
1314323,"Gen Z Trend Follower","Which precious metals companies offer the best educational resources for portfolio diversification?","","","","","","","","","","","","","X","X","","","X","",""
